bigram,n,theme,literal
alpine rose,1,NA,alpine rose
alpine world,1,NA,alpine world
als leeuwen,1,NA,als leeuwen
als nachruf,1,NA,als nachruf
als turken,1,NA,als turken
altar surrounded,1,NA,altar surrounded
alte katerweise,1,NA,alte katerweise
alteration occurred,1,NA,alteration occurred
altercation ensued,1,NA,altercation ensued
altered form,1,NA,altered form
alternately froze,1,NA,alternately froze
alternately left,1,NA,alternately left
alternately loud,1,NA,alternately loud
alternately rose,1,NA,alternately rose
alternately travelling,1,NA,alternately travelling
alternating thawing,1,NA,alternating thawing
alternating tones,1,NA,alternating tones
altitude measurements,1,NA,altitude measurements
altitude reading,1,NA,altitude reading
altitude revealed,1,NA,altitude revealed
altitude sighting,1,NA,altitude sighting
altitudes measured,1,NA,altitudes measured
altogether difficult,1,NA,altogether difficult
aluminum ring,1,NA,aluminum ring
amazing grace,1,NA,amazing grace
amazingly quickly,1,NA,amazingly quickly
ambling straight,1,NA,ambling straight
america 1866,1,NA,america 1866
america abut,1,NA,america abut
america formed,1,NA,america formed
america proceeded,1,NA,america proceeded
america’s star,1,NA,america’s star
american arctic,1,NA,american arctic
american basin,1,NA,american basin
american bills,1,NA,american bills
american bird,1,NA,american bird
american coast,1,NA,american coast
american consul,1,NA,american consul
american consulate,1,NA,american consulate
american custom,1,NA,american custom
american drive,1,NA,american drive
american franklin,1,NA,american franklin
american freebooters,1,NA,american freebooters
american hotels,1,NA,american hotels
american kinsmen,1,NA,american kinsmen
american money,1,NA,american money
american north,1,NA,american north
american perseverance,1,NA,american perseverance
american philosophical,1,NA,american philosophical
american sails,1,NA,american sails
american surveys,1,NA,american surveys
american troops,1,NA,american troops
american vessels,1,NA,american vessels
american weather,1,NA,american weather
amiable administrator,1,NA,amiable administrator
amidst blinding,1,NA,amidst blinding
amidst cheerful,1,NA,amidst cheerful
amidst feverish,1,NA,amidst feverish
amidst increasing,1,NA,amidst increasing
amidst mutual,1,NA,amidst mutual
amidst tossing,1,NA,amidst tossing
ammen 27,1,NA,ammen 27
ammunition box,1,NA,ammunition box
ammunition found,1,NA,ammunition found
ammunition ran,1,NA,ammunition ran
ammunition weapons,1,NA,ammunition weapons
amna ah,1,NA,amna ah
amna aya,1,NA,amna aya
amoeboid movements,1,NA,amoeboid movements
amphitheatre shaped,1,NA,amphitheatre shaped
amputated due,1,NA,amputated due
analyses hayes’s,1,NA,analyses hayes’s
analysis leads,1,NA,analysis leads
ancestry understood,1,NA,ancestry understood
anchor budington,1,NA,anchor budington
anchor cable,1,NA,anchor cable
anchor chains,1,NA,anchor chains
anchor congress’s,1,NA,anchor congress’s
anchor flying,1,NA,anchor flying
anchor lay,1,NA,anchor lay
anchor opposite,1,NA,anchor opposite
anchor raised,1,NA,anchor raised
anchorage battling,1,NA,anchorage battling
anchorage depending,1,NA,anchorage depending
anchorage north,1,NA,anchorage north
anchorage polaris,1,NA,anchorage polaris
anchors adequately,1,NA,anchors adequately
anchors snapped,1,NA,anchors snapped
anchovies worthily,1,NA,anchovies worthily
ancient song,1,NA,ancient song
ancient wood,1,NA,ancient wood
andalusian peasant,1,NA,andalusian peasant
andromeda 27,1,NA,andromeda 27
andromeda tetragona,1,NA,andromeda tetragona
andrōn uttermost,1,NA,andrōn uttermost
anemometers 2,1,NA,anemometers 2
anemometers 20,1,NA,anemometers 20
aneroid barometer,1,NA,aneroid barometer
aneroid barometers,1,NA,aneroid barometers
aneroid reading,1,NA,aneroid reading
angle irons,1,NA,angle irons
angled gravel,1,NA,angled gravel
angles consisted,1,NA,angles consisted
angular degrees,1,NA,angular degrees
angulok’s complexion,1,NA,angulok’s complexion
animal alive,1,NA,animal alive
animal attracted,1,NA,animal attracted
animal awaited,1,NA,animal awaited
animal collapsed,1,NA,animal collapsed
animal deserving,1,NA,animal deserving
animal devoid,1,NA,animal devoid
animal dived,1,NA,animal dived
animal exceed,1,NA,animal exceed
animal gazed,1,NA,animal gazed
animal leaped,1,NA,animal leaped
animal loose,1,NA,animal loose
animal lying,1,NA,animal lying
animal membranes,1,NA,animal membranes
animal refuse,1,NA,animal refuse
animal remains,1,NA,animal remains
animal shapes,1,NA,animal shapes
animal sinew,1,NA,animal sinew
animal spotted,1,NA,animal spotted
animal trotted,1,NA,animal trotted
animal understands,1,NA,animal understands
animal upwind,1,NA,animal upwind
animal’s age,1,NA,animal’s age
animal’s agile,1,NA,animal’s agile
animal’s belly,1,NA,animal’s belly
animal’s dark,1,NA,animal’s dark
animal’s disappearance,1,NA,animal’s disappearance
animal’s extremely,1,NA,animal’s extremely
animal’s flank,1,NA,animal’s flank
animal’s hoof,1,NA,animal’s hoof
animal’s left,1,NA,animal’s left
animal’s route,1,NA,animal’s route
animal’s stomach,1,NA,animal’s stomach
animal’s total,1,NA,animal’s total
animals caught,1,NA,animals caught
animals charge,1,NA,animals charge
animals demolished,1,NA,animals demolished
animals devote,1,NA,animals devote
animals howled,1,NA,animals howled
animals initially,1,NA,animals initially
animals left,1,NA,animals left
animals makes,1,NA,animals makes
animals puppies,1,NA,animals puppies
animals raced,1,NA,animals raced
animals revived,1,NA,animals revived
animals run,1,NA,animals run
animals supports,1,NA,animals supports
ann geen,1,NA,ann geen
annelid larvae,1,NA,annelid larvae
announced noon,1,NA,announced noon
announced official,1,NA,announced official
announcement leaving,1,NA,announcement leaving
annual allowance,1,NA,annual allowance
annual amount,1,NA,annual amount
annual circuit,1,NA,annual circuit
annual cycle,1,NA,annual cycle
annual plants,1,NA,annual plants
annual report,1,NA,annual report
annual stipend,1,NA,annual stipend
annually swarmed,1,NA,annually swarmed
anonymous reviewer,1,NA,anonymous reviewer
anser albifrons,1,wildlife,anser albifrons
answer manik,1,NA,answer manik
answering questions,1,NA,answering questions
anthing noah,1,NA,anthing noah
anticipated success,1,NA,anticipated success
antiquated impression,1,NA,antiquated impression
antiquated swivel,1,NA,antiquated swivel
antiscorbutic effect,1,NA,antiscorbutic effect
antiscorbutic morning,1,NA,antiscorbutic morning
antler beam,1,NA,antler beam
antler carvings,1,NA,antler carvings
antler lashed,1,NA,antler lashed
antlers 23,1,NA,antlers 23
anxiety started,1,NA,anxiety started
anxious doubts,1,NA,anxious doubts
anxious hour,1,NA,anxious hour
anybody’s wishes,1,NA,anybody’s wishes
apetala dryas,1,NA,apetala dryas
apex extended,1,NA,apex extended
appalling gradients,1,NA,appalling gradients
apparatus attached,1,NA,apparatus attached
apparatus cast,1,NA,apparatus cast
apparatus consisting,1,NA,apparatus consisting
apparatus property,1,NA,apparatus property
apparatus swings,1,NA,apparatus swings
apparent disadvantage,1,NA,apparent disadvantage
apparent ease,1,NA,apparent ease
apparent lack,1,NA,apparent lack
apparent minor,1,NA,apparent minor
apparent stability,1,NA,apparent stability
apparently arose,1,NA,apparently arose
apparently beset,1,NA,apparently beset
apparently blocking,1,NA,apparently blocking
apparently clumsy,1,NA,apparently clumsy
apparently foulke,1,NA,apparently foulke
apparently impenetrable,1,NA,apparently impenetrable
apparently increased,1,NA,apparently increased
apparently independent,1,NA,apparently independent
apparently lifeless,1,NA,apparently lifeless
apparently sharp,1,NA,apparently sharp
apparently undecided,1,NA,apparently undecided
appearance fine,1,NA,appearance fine
appearance lances,1,NA,appearance lances
appeared amidst,1,NA,appeared amidst
appeared beneath,1,NA,appeared beneath
appeared blunt,1,NA,appeared blunt
appeared breathless,1,NA,appeared breathless
appeared captain,1,NA,appeared captain
appeared close,1,NA,appeared close
appeared closely,1,NA,appeared closely
appeared closer,1,NA,appeared closer
appeared completely,1,NA,appeared completely
appeared cutting,1,NA,appeared cutting
appeared darker,1,NA,appeared darker
appeared east,1,NA,appeared east
appeared enveloped,1,NA,appeared enveloped
appeared exaggerated,1,NA,appeared exaggerated
appeared gullied,1,NA,appeared gullied
appeared magnified,1,NA,appeared magnified
appeared massive,1,NA,appeared massive
appeared minor,1,NA,appeared minor
appeared nearby,1,NA,appeared nearby
appeared posted,1,NA,appeared posted
appeared pteropods,1,NA,appeared pteropods
appeared ready,1,NA,appeared ready
appeared rising,1,NA,appeared rising
appeared running,1,NA,appeared running
appeared scattered,1,NA,appeared scattered
appeared serving,1,NA,appeared serving
appeared tyson,1,NA,appeared tyson
appeared worse,1,NA,appeared worse
appearing boring,1,NA,appearing boring
appears clinging,1,NA,appears clinging
appears conspicuously,1,NA,appears conspicuously
applicable verdict,1,NA,applicable verdict
appoint hall,1,NA,appoint hall
approached close,1,NA,approached close
approached closer,1,NA,approached closer
approached crozier,1,NA,approached crozier
approached northumberland,1,NA,approached northumberland
approached sable,1,NA,approached sable
approached upernavik,1,NA,approached upernavik
approaching storm,1,NA,approaching storm
approaching team,1,NA,approaching team
approaching winter,1,NA,approaching winter
approximate accuracy,1,NA,approximate accuracy
approximate estimate,1,NA,approximate estimate
approximate longitude,1,NA,approximate longitude
approximate position,1,NA,approximate position
approximate site,1,NA,approximate site
approximately 45,1,NA,approximately 45
approximately completed,1,NA,approximately completed
approximately correct,1,NA,approximately correct
approximately determining,1,NA,approximately determining
approximately levelled,1,NA,approximately levelled
approximately northeast,1,NA,approximately northeast
approximately northwest,1,NA,approximately northwest
approximately resembling,1,NA,approximately resembling
approximately vertical,1,NA,approximately vertical
april 1818,1,NA,april 1818
april 1871,1,NA,april 1871
april accompanied,1,NA,april accompanied
april noah,1,NA,april noah
april persistently,1,NA,april persistently
aquatic lifestyle,1,NA,aquatic lifestyle
arabia connects,1,NA,arabia connects
arable acreage,1,NA,arable acreage
arbitrary ideas,1,NA,arbitrary ideas
arc 17,1,NA,arc 17
arc swayed,1,NA,arc swayed
arch joseph,1,NA,arch joseph
arch ranged,1,NA,arch ranged
arch rose,1,NA,arch rose
arch stretching,1,NA,arch stretching
arched ice,1,NA,arched ice
arched passageway,1,NA,arched passageway
arched slanting,1,NA,arched slanting
arched snow,1,NA,arched snow
arched upward,1,NA,arched upward
archipelago lie,1,NA,archipelago lie
archiv für,1,NA,archiv für
archives des,1,NA,archives des
arcing rolls,1,NA,arcing rolls
arcs appeared,1,NA,arcs appeared
arctander 16,1,NA,arctander 16
arctic beauty,1,NA,arctic beauty
arctic blocks,1,NA,arctic blocks
arctic chronometers,1,NA,arctic chronometers
arctic conditions,1,NA,arctic conditions
arctic crosses,1,NA,arctic crosses
arctic cruise,1,NA,arctic cruise
arctic day,1,NA,arctic day
arctic discoveries,1,NA,arctic discoveries
arctic exploration,1,NA,arctic exploration
arctic fox’s,1,wildlife,arctic fox’s
arctic hare,1,wildlife,arctic hare
arctic hares,1,wildlife,arctic hares
arctic highlanders,1,NA,arctic highlanders
arctic leaves,1,NA,arctic leaves
arctic march,1,NA,arctic march
arctic petrel,1,wildlife,arctic petrel
arctic plants,1,NA,arctic plants
arctic region,1,NA,arctic region
arctic sanctuary,1,NA,arctic sanctuary
arctic seabirds,1,NA,arctic seabirds
arctic started,1,NA,arctic started
arctic steered,1,NA,arctic steered
arctic trefoil,1,flora,arctic trefoil
arctic trio,1,NA,arctic trio
arctic wastes,1,NA,arctic wastes
arctic willows,1,flora,arctic willows
arctic winter,1,NA,arctic winter
arctic zone,1,NA,arctic zone
arctic’s catch,1,NA,arctic’s catch
arctic’s deck,1,NA,arctic’s deck
arctica 3,1,NA,arctica 3
arcticus 1,1,NA,arcticus 1
ardent speeches,1,NA,ardent speeches
arm bent,1,NA,arm bent
arm sufficed,1,NA,arm sufficed
armed jacks,1,NA,armed jacks
armer tom,1,NA,armer tom
armour formed,1,NA,armour formed
armour plates,1,NA,armour plates
armour plating,1,NA,armour plating
armoured bow,1,NA,armoured bow
arms animatedly,1,NA,arms animatedly
arms folded,1,NA,arms folded
arms including,1,NA,arms including
arms lay,1,NA,arms lay
aromatic punch,1,NA,aromatic punch
aromatic scent,1,NA,aromatic scent
arose driving,1,NA,arose driving
arose filling,1,NA,arose filling
arose suddenly,1,NA,arose suddenly
arouse everyone’s,1,NA,arouse everyone’s
arouse opposite,1,NA,arouse opposite
arouses horror,1,NA,arouses horror
arranged fortification,1,NA,arranged fortification
arrangements painted,1,NA,arrangements painted
arrival proceed,1,NA,arrival proceed
arrivals start,1,NA,arrivals start
arrived 35,1,NA,arrived 35
arrived morton’s,1,NA,arrived morton’s
arrow occasionally,1,NA,arrow occasionally
arrow root,1,NA,arrow root
arrows ranged,1,NA,arrows ranged
art enthroned,1,NA,art enthroned
art suffered,1,NA,art suffered
article rink,1,NA,article rink
artificial coloration,1,NA,artificial coloration
artificial heat,1,NA,artificial heat
artificial horizons,1,NA,artificial horizons
artillery opposite,1,NA,artillery opposite
artistic genius,1,NA,artistic genius
artistically adorned,1,NA,artistically adorned
artistically constructed,1,NA,artistically constructed
artless graves,1,NA,artless graves
ascended gradually,1,NA,ascended gradually
ascent finally,1,NA,ascent finally
ascent route,1,NA,ascent route
ash poles,1,NA,ash poles
ash residue,1,NA,ash residue
ashore greer,1,NA,ashore greer
ashore hall,1,NA,ashore hall
ashore true,1,NA,ashore true
aski raw,1,NA,aski raw
asleep decomposition,1,NA,asleep decomposition
aspect possessed,1,NA,aspect possessed
aspects fate,1,NA,aspects fate
assassination attempt,1,NA,assassination attempt
assemblage watched,1,NA,assemblage watched
assembled crew,1,NA,assembled crew
assembled sledges,1,NA,assembled sledges
assigned superbly,1,NA,assigned superbly
association’s rules,1,NA,association’s rules
assorted lines,1,NA,assorted lines
assorted materials,1,NA,assorted materials
assorted seasonal,1,NA,assorted seasonal
assorted supplies,1,NA,assorted supplies
assume office,1,NA,assume office
assume positions,1,NA,assume positions
asthmatic giant,1,NA,asthmatic giant
astronomer friedrich,1,NA,astronomer friedrich
astronomical bearings,1,NA,astronomical bearings
astronomical fix,1,NA,astronomical fix
astronomical instruments,1,NA,astronomical instruments
astronomical position,1,NA,astronomical position
asymmetrically rounded,1,NA,asymmetrically rounded
ate communally,1,NA,ate communally
ate dinner,1,NA,ate dinner
athletic fellow,1,NA,athletic fellow
atholl rose,1,NA,atholl rose
atlantic basin,1,NA,atlantic basin
atlantic slopes,1,NA,atlantic slopes
atmosphere cleanliness,1,NA,atmosphere cleanliness
atmosphere contained,1,NA,atmosphere contained
atmosphere disappeared,1,NA,atmosphere disappeared
atmosphere lies,1,NA,atmosphere lies
atmospheric humidity,1,NA,atmospheric humidity
atmospheric influences,1,NA,atmospheric influences
atmospheric light,1,NA,atmospheric light
atmospheric precipitation,1,NA,atmospheric precipitation
atmospheric temperature,1,NA,atmospheric temperature
atop hills,1,NA,atop hills
attaches due,1,NA,attaches due
attained 60,1,NA,attained 60
attained barely,1,NA,attained barely
attained gale,1,NA,attained gale
attained outward,1,NA,attained outward
attained till,1,NA,attained till
attaining hurricane,1,NA,attaining hurricane
attempted suicide,1,NA,attempted suicide
attempted unsuccessfully,1,NA,attempted unsuccessfully
attempts actinometric,1,NA,attempts actinometric
attempts consistently,1,NA,attempts consistently
attempts reaching,1,NA,attempts reaching
attempts remained,1,NA,attempts remained
attempts taught,1,NA,attempts taught
attention hayes,1,NA,attention hayes
attention slapping,1,NA,attention slapping
attention strangely,1,NA,attention strangely
au similarly,1,NA,au similarly
auf dem,1,NA,auf dem
auf ödem,1,NA,auf ödem
august 1,1,NA,august 1
august 1825,1,NA,august 1825
august 19,1,NA,august 19
august 3,1,NA,august 3
august 30th,1,NA,august 30th
august advance,1,NA,august advance
august date,1,NA,august date
august day,1,NA,august day
august found,1,NA,august found
august peaked,1,NA,august peaked
augustine 4,1,NA,augustine 4
aurora bright,1,NA,aurora bright
aurora rose,1,NA,aurora rose
auroral coronae,1,NA,auroral coronae
author ch,1,NA,author ch
authority 1,1,NA,authority 1
automatically recording,1,NA,automatically recording
auvik auvik,1,NA,auvik auvik
avail deeply,1,NA,avail deeply
avalanche roared,1,NA,avalanche roared
avalon peninsula,1,placename,avalon peninsula
avaricious bosom,1,NA,avaricious bosom
avatok 5,1,NA,avatok 5
avatok arrived,1,NA,avatok arrived
avatok arrutak,1,NA,avatok arrutak
avatok caught,1,NA,avatok caught
avatok declared,1,NA,avatok declared
avatok didn’t,1,NA,avatok didn’t
avatok finally,1,NA,avatok finally
avatok helped,1,NA,avatok helped
avatok pantless,1,NA,avatok pantless
avatok refused,1,NA,avatok refused
avatok required,1,NA,avatok required
avatok scorned,1,NA,avatok scorned
avatok’s half,1,NA,avatok’s half
avatok’s hut,1,NA,avatok’s hut
average 3,1,NA,average 3
average direction,1,NA,average direction
average floor,1,NA,average floor
average length,1,NA,average length
average light,1,NA,average light
average velocity,1,NA,average velocity
average width,1,NA,average width
averaged 20,1,NA,averaged 20
"averages 1,200",1,NA,"averages 1,200"
avifauna appeared,1,NA,avifauna appeared
avoid disturbing,1,NA,avoid disturbing
avoid dying,1,NA,avoid dying
avoid increasing,1,NA,avoid increasing
avoid repetition,1,NA,avoid repetition
avoid undergoing,1,NA,avoid undergoing
avoided purely,1,NA,avoided purely
await calmly,1,NA,await calmly
awaited final,1,NA,awaited final
awaited voyage,1,NA,awaited voyage
awful clarity,1,NA,awful clarity
awkward dilemma,1,NA,awkward dilemma
axe rang,1,NA,axe rang
axis curtains,1,NA,axis curtains
aya amna,1,NA,aya amna
aya aya,1,NA,aya aya
azimuth compass,1,NA,azimuth compass
baart te,1,NA,baart te
bab el,1,NA,bab el
baccalieu island,1,placename,baccalieu island
bache island,1,placename,bache island
background colour,1,NA,background colour
bad dream,1,NA,bad dream
bad habit,1,NA,bad habit
bad jokes,1,NA,bad jokes
bad leak,1,NA,bad leak
bad luck,1,NA,bad luck
bad news,1,NA,bad news
bad person,1,NA,bad person
bad shape,1,NA,bad shape
bad spot,1,NA,bad spot
bad tea,1,NA,bad tea
bad tobacco,1,NA,bad tobacco
bad wound,1,NA,bad wound
badly asthmatic,1,NA,badly asthmatic
badly distorted,1,NA,badly distorted
badly illuminated,1,NA,badly illuminated
badly injured,1,NA,badly injured
badly missed,1,NA,badly missed
badly mistaken,1,NA,badly mistaken
badly overloaded,1,NA,badly overloaded
badly strained,1,NA,badly strained
badly undermined,1,NA,badly undermined
baffin boldly,1,NA,baffin boldly
baffin inglefield,1,NA,baffin inglefield
baffin john,1,NA,baffin john
baffin stood,1,NA,baffin stood
baffin survey,1,NA,baffin survey
baffin’s description,1,NA,baffin’s description
baffin’s manuscript,1,NA,baffin’s manuscript
baffled accurate,1,NA,baffled accurate
bag foundered,1,NA,bag foundered
baggage lying,1,NA,baggage lying
bagged 19,1,NA,bagged 19
bags formed,1,NA,bags formed
bags heinrich,1,NA,bags heinrich
baie d’hudson,1,NA,baie d’hudson
baird 25,1,NA,baird 25
baird inlet,1,placename,baird inlet
bait redundant,1,NA,bait redundant
baked mince,1,NA,baked mince
bald head,1,NA,bald head
baleen monster,1,NA,baleen monster
bales ashore,1,NA,bales ashore
bales casks,1,NA,bales casks
ball evidently,1,NA,ball evidently
ball joint,1,NA,ball joint
ball shaped,1,NA,ball shaped
balloon fell,1,NA,balloon fell
band bore,1,NA,band bore
band elwin,1,NA,band elwin
band richer,1,NA,band richer
band separated,1,NA,band separated
band’s dogs,1,NA,band’s dogs
band’s shaman,1,NA,band’s shaman
bands devoid,1,NA,bands devoid
bands lay,1,NA,bands lay
banged noisily,1,NA,banged noisily
bank north,1,NA,bank north
bank taking,1,NA,bank taking
banks fishing,1,NA,banks fishing
banquo’s ghost,1,NA,banquo’s ghost
bar prevented,1,NA,bar prevented
bardin bay,1,placename,bardin bay
bare erratic,1,NA,bare erratic
bare existence,1,NA,bare existence
bare ground,1,NA,bare ground
bare patches,1,NA,bare patches
bare rocky,1,NA,bare rocky
bare slab,1,NA,bare slab
bare strip,1,NA,bare strip
bared teeth,1,NA,bared teeth
barefoot friar,1,NA,barefoot friar
barely 10,1,NA,barely 10
barely 12,1,NA,barely 12
barely 15,1,NA,barely 15
barely 18,1,NA,barely 18
barely 20,1,NA,barely 20
barely 30,1,NA,barely 30
barely 36,1,NA,barely 36
barely 4,1,NA,barely 4
barely 900,1,NA,barely 900
barely accommodate,1,NA,barely accommodate
barely achieved,1,NA,barely achieved
barely bigger,1,NA,barely bigger
barely brushed,1,NA,barely brushed
barely cherish,1,NA,barely cherish
barely comprehensible,1,NA,barely comprehensible
barely crossed,1,NA,barely crossed
barely deigned,1,NA,barely deigned
barely derive,1,NA,barely derive
barely deserves,1,NA,barely deserves
barely died,1,NA,barely died
barely dig,1,NA,barely dig
barely dimmed,1,NA,barely dimmed
barely disappeared,1,NA,barely disappeared
barely doubt,1,NA,barely doubt
barely exceeded,1,NA,barely exceeded
barely experienced,1,NA,barely experienced
barely finished,1,NA,barely finished
barely guess,1,NA,barely guess
barely happened,1,NA,barely happened
barely jumped,1,NA,barely jumped
barely maintain,1,NA,barely maintain
barely manages,1,NA,barely manages
barely noticeable,1,NA,barely noticeable
barely passable,1,NA,barely passable
barely protect,1,NA,barely protect
barely provided,1,NA,barely provided
barely reach,1,NA,barely reach
barely record,1,NA,barely record
barely refreshing,1,NA,barely refreshing
barely repaid,1,NA,barely repaid
barely restrain,1,NA,barely restrain
barely rise,1,NA,barely rise
barely rose,1,NA,barely rose
barely sleep,1,NA,barely sleep
barely stand,1,NA,barely stand
barely succeed,1,NA,barely succeed
barely walk,1,NA,barely walk
barely walked,1,NA,barely walked
barely wide,1,NA,barely wide
barely worth,1,NA,barely worth
barest concept,1,NA,barest concept
baritone sang,1,NA,baritone sang
bark accompanied,1,NA,bark accompanied
bark captain,1,NA,bark captain
bark smoothed,1,NA,bark smoothed
bark’s captain,1,NA,bark’s captain
bark’s crow’s,1,NA,bark’s crow’s
barkless surface,1,NA,barkless surface
barley mature,1,NA,barley mature
barn swallow,1,wildlife,barn swallow
barn swallows,1,wildlife,barn swallows
barnacle shells,1,NA,barnacle shells
barometer climbed,1,NA,barometer climbed
barometer dropped,1,NA,barometer dropped
barometer dropping,1,NA,barometer dropping
barometer reading,1,NA,barometer reading
barometric pressure,1,NA,barometric pressure
baron fr,1,NA,baron fr
barque discovery,1,NA,barque discovery
barra 6,1,NA,barra 6
barred box,1,NA,barred box
barrel attempting,1,NA,barrel attempting
barrel fitted,1,NA,barrel fitted
barrel package,1,NA,barrel package
barrel reporting,1,NA,barrel reporting
barrelled gun,1,NA,barrelled gun
barrelled pistols,1,NA,barrelled pistols
barrels covered,1,NA,barrels covered
barren shores,1,NA,barren shores
barrier hayes,1,NA,barrier hayes
barriers sloth,1,NA,barriers sloth
barter needles,1,NA,barter needles
barter trade,1,NA,barter trade
bartlett lived,1,NA,bartlett lived
basalt bands,1,NA,basalt bands
basalt cliffs,1,NA,basalt cliffs
basalt crust,1,NA,basalt crust
basalt rocks,1,NA,basalt rocks
basalt similar,1,NA,basalt similar
basaltic formation,1,NA,basaltic formation
basalts extend,1,NA,basalts extend
basic colour,1,NA,basic colour
basically extremely,1,NA,basically extremely
basin represents,1,NA,basin represents
bathybius contained,1,NA,bathybius contained
bathybius haeckeli,1,flora,bathybius haeckeli
bathybius shape,1,NA,bathybius shape
battered vessel,1,NA,battered vessel
batteries sit,1,NA,batteries sit
battle begins,1,NA,battle begins
battle foul,1,NA,battle foul
battle joseph,1,NA,battle joseph
battle strenuously,1,NA,battle strenuously
battled tenaciously,1,NA,battled tenaciously
battled valiantly,1,NA,battled valiantly
battling constantly,1,NA,battling constantly
battling threefold,1,NA,battling threefold
batty bay,1,placename,batty bay
bay 15,1,NA,bay 15
bay 18,1,NA,bay 18
bay 19,1,NA,bay 19
bay 2,1,NA,bay 2
bay 3,1,NA,bay 3
bay 4,1,NA,bay 4
bay 55,1,NA,bay 55
bay 7,1,NA,bay 7
bay 9,1,NA,bay 9
bay appeared,1,NA,bay appeared
bay charles,1,NA,bay charles
bay determined,1,NA,bay determined
bay displayed,1,NA,bay displayed
bay dryas,1,NA,bay dryas
bay extremely,1,NA,bay extremely
bay forced,1,NA,bay forced
bay found,1,NA,bay found
bay hayes,1,NA,bay hayes
bay inadequate,1,NA,bay inadequate
bay interrupted,1,NA,bay interrupted
bay lat,1,NA,bay lat
bay lie,1,NA,bay lie
bay lies,1,NA,bay lies
bay lower,1,NA,bay lower
bay mauch,1,NA,bay mauch
bay named,1,NA,bay named
bay partly,1,NA,bay partly
bay provided,1,NA,bay provided
bay rests,1,NA,bay rests
bay retains,1,NA,bay retains
bay runs,1,NA,bay runs
bay secular,1,NA,bay secular
bay spreads,1,NA,bay spreads
bay suffers,1,NA,bay suffers
bay tyson,1,NA,bay tyson
bay unbounded,1,NA,bay unbounded
bay unloading,1,NA,bay unloading
bay watching,1,NA,bay watching
bay widening,1,NA,bay widening
bays deeper,1,NA,bays deeper
bays occur,1,NA,bays occur
beach 51,1,NA,beach 51
beach baffled,1,NA,beach baffled
beach contained,1,NA,beach contained
beach extends,1,NA,beach extends
beach formations,1,NA,beach formations
beach heeling,1,NA,beach heeling
beach landward,1,NA,beach landward
beach paddled,1,NA,beach paddled
beach partly,1,NA,beach partly
beach promised,1,NA,beach promised
beach rose,1,NA,beach rose
beaker filled,1,NA,beaker filled
beams break,1,NA,beams break
beams creaked,1,NA,beams creaked
beans broken,1,NA,beans broken
beans white,1,NA,beans white
bear appeared,1,NA,bear appeared
bear approached,1,NA,bear approached
bear close,1,NA,bear close
bear confused,1,NA,bear confused
bear featured,1,NA,bear featured
bear fell,1,NA,bear fell
bear gnawing,1,NA,bear gnawing
bear hams,1,NA,bear hams
bear heads,1,NA,bear heads
bear joseph,1,NA,bear joseph
bear liver,1,NA,bear liver
bear one’s,1,NA,bear one’s
bear pelt,1,NA,bear pelt
bear sideways,1,NA,bear sideways
bear soup,1,NA,bear soup
bear storm,1,NA,bear storm
bear tough,1,NA,bear tough
bear’s life,1,NA,bear’s life
bearded seals,1,NA,bearded seals
bearing children,1,NA,bearing children
bearing flower,1,NA,bearing flower
bearing galena,1,NA,bearing galena
bearing north,1,NA,bearing north
bearing plants,1,NA,bearing plants
bears appeared,1,NA,bears appeared
bears evidence,1,NA,bears evidence
bears partridges,1,NA,bears partridges
bearskin mittens,1,NA,bearskin mittens
beat faster,1,NA,beat faster
beaten sledge,1,NA,beaten sledge
beaten trails,1,NA,beaten trails
beats drowned,1,NA,beats drowned
beats relentlessly,1,NA,beats relentlessly
beautiful eskimo,1,NA,beautiful eskimo
beautiful features,1,NA,beautiful features
beautiful forms,1,NA,beautiful forms
beautiful fossilized,1,NA,beautiful fossilized
beautiful girl,1,NA,beautiful girl
beautiful lady,1,NA,beautiful lady
beautiful night,1,NA,beautiful night
beautiful spots,1,NA,beautiful spots
beautiful sulphur,1,NA,beautiful sulphur
beautiful suschen,1,NA,beautiful suschen
beautiful teeth,1,NA,beautiful teeth
beautiful zeoliths,1,NA,beautiful zeoliths
beautifully warm,1,NA,beautifully warm
beauty developed,1,NA,beauty developed
beauty reveals,1,NA,beauty reveals
beaver thrown,1,NA,beaver thrown
bed extends,1,NA,bed extends
bed formed,1,NA,bed formed
bed hot,1,NA,bed hot
bed late,1,NA,bed late
bed nursery,1,NA,bed nursery
bed occasionally,1,NA,bed occasionally
bed pitch,1,NA,bed pitch
bed sheet,1,NA,bed sheet
bed shoaled,1,NA,bed shoaled
bed stood,1,NA,bed stood
bedded limestone,1,NA,bedded limestone
bedding planes,1,NA,bedding planes
bedding structures,1,NA,bedding structures
bedrock exfoliated,1,NA,bedrock exfoliated
beds evaporated,1,NA,beds evaporated
beds roughly,1,NA,beds roughly
beechey island,1,placename,beechey island
beef 4500,1,NA,beef 4500
beef 49,1,NA,beef 49
beef fat,1,NA,beef fat
beehive shaped,1,NA,beehive shaped
beer wine,1,NA,beer wine
begin de,1,NA,begin de
begin laying,1,NA,begin laying
begin removing,1,NA,begin removing
begin skinning,1,NA,begin skinning
begins handling,1,NA,begins handling
begun inserted,1,NA,begun inserted
behave calmly,1,NA,behave calmly
behaved superbly,1,NA,behaved superbly
behaviour devoid,1,NA,behaviour devoid
